2026/04/28 14:36:27 [error] 3044#22944: *1 CreateFile() "C:\nginx-1.16.1/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2026/04/28 14:36:52 [notice] 10968#460: signal process started
2026/04/28 14:36:59 [notice] 14800#16452: signal process started
2026/04/28 14:40:00 [notice] 22716#11024: signal process started
2026/04/28 14:40:00 [error] 22716#11024: CreateFile() "C:\nginx-1.16.1/logs/nginx.pid" failed (2: The system cannot find the file specified)
2026/04/28 14:40:13 [error] 20216#12740: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8001/", host: "localhost"
2026/04/28 14:40:15 [error] 20216#12740: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8002/", host: "localhost"
2026/04/28 14:40:17 [error] 20216#12740: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8003/", host: "localhost"
2026/04/28 14:42:39 [notice] 1924#17072: signal process started
2026/04/28 14:48:04 [error] 440#12088: *1019 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8003/api/v1/url/b", host: "127.0.0.1"
2026/04/28 14:48:04 [error] 440#12088: *1019 WSARecv() failed (10053: An established connection was aborted by the software in your host machine) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 14:48:25 [error] 440#12088: *1012 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2249 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8003/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2181 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2449 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8003/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2074 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2074 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2660 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2660 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2365 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2365 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2637 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2637 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2055 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2055 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2557 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2557 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2695 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2743 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2742 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2742 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2583 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2583 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2041 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2041 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2027 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2027 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2603 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://127.0.0.1:8002/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2603 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2027 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2041 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2055 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2066 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2709 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2074 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2742 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2209 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2207 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2238 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2695 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2743 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2710 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2691 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2296 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2727 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2665 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2365 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2660 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2637 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2412 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2433 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2465 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2583 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2468 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2476 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2496 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2519 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2603 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:12 [error] 440#12088: *2557 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2027 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2041 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2055 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2066 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2709 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2074 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2082 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2742 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2177 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2209 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2207 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2238 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2695 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2743 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2710 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2691 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2296 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2326 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2727 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2665 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2365 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2660 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2382 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2637 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2412 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2433 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2465 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2583 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2468 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2476 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2496 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2519 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2603 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
2026/04/28 15:36:13 [error] 440#12088: *2618 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/url/b HTTP/1.1", upstream: "http://backend/api/v1/url/b", host: "127.0.0.1"
